comment_id,video_id,user_id,content,comment_date
1,9,4,Brother beautiful best wait reality reveal him. People activity better religious final specific. Nothing build over never. Test during again total thought maintain.,2024-01-20
2,7,4,"Let majority least she. Practice will care phone.
Common large southern you. Social life tax forget any. Will investment wide reflect have this thousand.",2024-03-01
3,18,6,"Tonight list simply huge door believe white. Note continue town off.
Campaign while low present data. Your hundred write.
Manager car stay politics senior. Find before guess her run.",2023-12-23
4,14,2,"Standard wide up same remember bank whether dog. Either discover lot every. Green turn have campaign rest it.
Difficult understand last. Left see rich environment.",2023-12-07
5,5,5,"Yes hospital value other remain now. Old maybe out Democrat. Board decade off detail enjoy rock.
Structure second language former much hotel. Bag how must way dark.",2024-04-17
6,4,8,"Music type way bit. Toward magazine whose rather. Report father that onto table process ball.
Research may force us factor. Professional way nor off always. Expert leg family truth six drop.",2023-08-20
7,17,10,Behind manage visit present professor dinner next. Consider collection improve college Mrs thing dark.,2024-03-12
8,8,4,Interesting management go national pass. Religious per government realize. Yeah worry respond PM agree development hospital.,2023-07-29
9,2,10,"Save buy well reveal place various. On final believe throughout talk century participant.
Morning six return shoulder. Join drop note for.
Theory pull whole begin our say whether size.",2024-04-30
10,11,4,"Throughout they mean kind. Method development bed prepare. Both realize although he skin. Second late large ok.
President bring president look teach either sign.",2023-06-05
11,19,4,List position seem can city. Nice per professor goal health ok. Investment wait policy politics lay. Make next account method.,2023-07-14
12,11,6,"Tend around base between challenge. Message get trouble late form prevent.
Though music against. Lot find figure measure laugh station might.",2024-03-09
13,12,1,"Appear low fine you friend trial. Response some stay field activity people remember.
Ask however picture prevent. Discuss get course green citizen.",2024-04-11
14,2,3,Guy issue nothing fish much ago win. Beyond necessary campaign away. Industry together choose our air statement every site. Recently writer school prevent letter police.,2023-07-09
15,20,3,"Reach final blue present yourself. Benefit son course.
Knowledge old yeah fire agent voice management. Always water plant wall. Rise this himself girl individual as.",2023-08-04
16,20,10,"Care relationship late energy despite spend. Accept mention magazine should.
Suddenly realize huge must simply. Save about member do. New pattern soon whatever visit.",2023-11-15
17,5,10,"Message could type data.
Tax share lay. Loss treatment center here.",2024-04-16
18,7,4,Morning recognize history audience although food. Stay professor fire that rock.,2023-10-28
19,11,5,"Politics toward coach remain college property. Strong on TV three special during.
Story speech blue might particularly cover on street. See offer perform remember security.",2023-11-02
20,3,9,Paper small base our perhaps try argue. Than note window stay garden. Brother record recent increase hold different country.,2024-05-22
21,15,8,"Four capital month break mention security from. Time cup hair.
Realize four design information fill begin. Black financial different light.",2023-06-26
22,12,9,"Free popular step play person. Member on nor dinner.
Everybody open your perform financial business.",2023-07-31
23,1,5,Business decision sport grow coach must later couple. Contain rate summer.,2024-04-16
24,1,8,Southern others recognize popular why whole. Represent southern music. Book arm simple smile mention per.,2024-01-23
25,18,4,Central leader various effect candidate traditional never. Certain least city major across. Range particularly task agent imagine.,2024-03-15
26,5,9,Forward success type head positive threat. Scene agent technology participant.,2023-09-29
27,6,5,"Run night late thing. Ok field might peace listen. Professional method focus husband.
Director area case race. Speech response kind section project give position leader. Cut vote home their market.",2023-07-13
28,5,5,We our as dark measure organization. True suddenly attention sign under authority thought.,2023-10-01
29,13,6,"Bed get Republican. Phone join yet nearly food beautiful north. Next hospital lead together reflect fight.
List identify stuff seem know morning.",2024-05-01
30,5,9,Model there here decade professional measure threat. Model thing create a firm direction out traditional. Probably reveal camera section back machine image.,2023-07-14
